,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,48347.0,909801652785,1,1015339254291.0,31417891886,48576.0,46924.0,1212.44,2.57231,22101485564.0,2.48975,18817193.0,21000000.0,21000000.0,64805.0,-25.39203,2021-04-14T11:54:46.763Z,67.81,71202.46472,2013-07-06T00:00:00.000Z,,2021-09-16T04:40:23.312Z
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,3669.5,431331945983,2,,21402954653,3675.44,3377.79,260.4,7.63852,30515724861.0,7.6134,117542672.249,,,4356.99,-15.77719,2021-05-12T14:41:48.623Z,0.432979,847419.37241,2015-10-20T00:00:00.000Z,"{'times': 100.58596139167102, 'currency': 'btc', 'percentage': 10058.5961391671}",2021-09-16T04:40:46.508Z
2,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,2.49,79756618664,3,111925532156.0,3935088634,2.58,2.37,0.098794,4.13601,3116326266.0,4.06617,32066390668.4135,45000000000.0,45000000000.0,3.09,-19.40932,2021-09-02T06:00:10.474Z,0.01925275,12821.59805,2020-03-13T02:22:55.044Z,,2021-09-16T04:40:55.667Z
3,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,69653657989,4,,62830302934,1.01,0.996985,0.00196436,0.19606,166560468.0,0.2397,69313275150.8102,69313275150.8102,,1.32,-24.0485,2018-07-24T00:00:00.000Z,0.572521,75.52383,2015-03-02T00:00:00.000Z,,2021-09-16T04:40:55.577Z
4,binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,433.55,66997582886,5,73934332992.0,1729830704,437.28,415.29,16.5,3.95597,2580431201.0,4.00581,154533651.9,170533651.9,170533651.9,686.31,-36.82898,2021-05-10T07:24:17.097Z,0.0398177,1088729.62158,2017-10-19T00:00:00.000Z,,2021-09-16T04:40:51.218Z
5,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,1.12,52156255717,6,111869907646.0,3796056799,1.13,1.08,0.03133658,2.88188,1478126370.0,2.91669,46622239005.0,100000000000.0,100000000000.0,3.4,-67.08208,2018-01-07T00:00:00.000Z,0.00268621,41546.05398,2014-05-22T00:00:00.000Z,,2021-09-16T04:40:45.441Z
6,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452,157.78,46812203670,7,77095919553.0,3503627705,165.44,153.37,1.76,1.13046,579043573.0,1.25244,296693726.64888,488630611.0,488630611.0,213.47,-26.50651,2021-09-09T02:24:33.650Z,0.500801,31226.62855,2020-05-11T19:35:23.449Z,,2021-09-16T04:40:45.260Z
7,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,36.12,37202218197,8,,1772324699,37.14,35.32,-0.843332746041,-2.28167,-798175950.9028549,-2.10044,1030021285.7934,1110968638.71014,,49.35,-26.67409,2021-05-15T03:59:58.961Z,2.7,1241.47121,2020-08-20T05:48:11.359Z,,2021-09-16T04:40:40.027Z
8,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.24607,32309582126,9,,989668115,0.249387,0.240341,0.00505048,2.09547,664106511.0,2.09858,131296859277.337,,,0.731578,-66.36307,2021-05-08T05:08:23.458Z,8.69e-05,283064.26829,2015-05-06T00:00:00.000Z,,2021-09-16T04:40:33.928Z
9,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,29354131530,10,,2163753985,1.01,0.994364,0.00414827,0.41466,10626589.0,0.03621,29220924378.2576,29228714490.5676,,1.17,-14.56517,2019-05-08T00:40:28.300Z,0.891848,12.33973,2021-05-19T13:14:05.611Z,,2021-09-16T04:40:20.499Z
